data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,event_type_2,Police Involved?,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin2-rev,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
715601,788,TUN3997,3997,3-Mar-18,2018,1,Riots/Protests,Protest,0,Protesters (Tunisia),,6,,,0,60,Northern Africa,Tunisia,Tataouine,Tataouine Nord,Tataouine Nord,,Tataouine,32.9297,10.4518,1,Tunisie Numerique,Subnational,Renewed protests in Tatouine against the non-implementation of the agreement signed between Kamour protesters and the government in June last summer.,0,1520269671,TUN
715599,788,TUN3995,3995,2-Mar-18,2018,1,Riots/Protests,Protest,0,Protesters (Tunisia),,6,,,0,60,Northern Africa,Tunisia,Manouba,Oued Ellil,Oued Ellil,,Oued Ellil,36.8341,10.0406,1,Tunisie Numerique,Subnational,Some forty people staged a protest at the headquarters of a bank demanding to get their money that was stolen from them by a bank employee.,0,1520269671,TUN
715600,788,TUN3996,3996,2-Mar-18,2018,1,Riots/Protests,Riot,0,Rioters (Tunisia),,5,,,0,50,Northern Africa,Tunisia,Gafsa,Ksar,Ksar,,El Ksar,34.3983,8.8044,2,Tunisie Numerique,Subnational,Youth burned tires and blocked the road to Gafsa in protest against being unemployed.,0,1520269671,TUN
715598,788,TUN3994,3994,1-Mar-18,2018,1,Riots/Protests,Protest,0,Protesters (Tunisia),Judiciary (Tunisia),6,,,0,60,Northern Africa,Tunisia,Ben Arous (Tunis Sud),Nouvelle Medina,Nouvelle Medina,,Ben Arous,36.7444,10.2338,1,Agence France Presse,International,Judges protested outside the courthouse in Ben Arous against the pressure attacks from policemen who demand the release of their collegues.,0,1520269671,TUN
715597,788,TUN3993,3993,27-Feb-18,2018,1,Riots/Protests,Protest,0,Protesters (Tunisia),,6,,,0,60,Northern Africa,Tunisia,Gafsa,Gafsa Sud,Gafsa Sud,,Gafsa,34.425,8.7417,1,Mosaique,Subnational,Parents to autistic children in Gafsa stage a demonstration in protest against the ill-treatment of autistic children in Ariana.,0,1520269671,TUN
715596,788,TUN3992,3992,26-Feb-18,2018,1,Riots/Protests,Protest,0,Protesters (Tunisia),,6,,,0,60,Northern Africa,Tunisia,Sidi Bou Zid,Sidi Bouzid Est,Sidi Bouzid Est,,Sidi Bouzid,35.0382,9.4849,1,Tunisie Numerique,Subnational,Teachers in Sidi Bouzid staged a protest claiming that the Ministry of Education has not responded to their demands.,0,1520269671,TUN
715594,788,TUN3990,3990,25-Feb-18,2018,1,Riots/Protests,Protest,0,Protesters (Tunisia),,6,,,0,60,Northern Africa,Tunisia,Tataouine,Tataouine Nord,Tataouine Nord,,Tataouine,32.9297,10.4518,1,Tunis Afrique Press; Mosaique,Subnational-National,"Sit-inners in Kamour staged a protest in downtown Tataouine, demanding the government to implement various points agreed upon amidst negotiations last summer.",0,1520269671,TUN
715595,788,TUN3991,3991,25-Feb-18,2018,1,Riots/Protests,Protest,0,Protesters (Tunisia),Police Forces of Tunisia (2014-),6,,,0,60,Northern Africa,Tunisia,Ben Arous (Tunis Sud),Nouvelle Medina,Nouvelle Medina,,Ben Arous,36.7444,10.2338,1,Agence France Presse,International,"Policemen both in uniform and plain clothing gathered outside the court in Ben Arous, chanting slogans demanding the release of their collegues, being detained on accusations of torture.",0,1520269671,TUN
713382,788,TUN3988,3988,20-Feb-18,2018,1,Riots/Protests,Riot,1,Rioters (Tunisia),,5,Police Forces of Tunisia (2014-),,1,15,Northern Africa,Tunisia,Sfax,Mahras,Mahres,,Mahras,34.5275,10.5008,1,Tunisie Numerique,National,"Unemployed youth and residents burned tires, blocked the road and the railroad linking Sfax and Gabes in central Mahres in protest against the results of a recruitment contest. Police dispersed the protesters by firing teargas.",0,1519668788,TUN
713383,788,TUN3989,3989,20-Feb-18,2018,1,Riots/Protests,Protest,0,Protesters (Tunisia),,6,,,0,60,Northern Africa,Tunisia,Ariana,Soukra,Soukra,,Ariana,36.8601,10.1934,1,Mosaique,Subnational,"Parents of autistic children at a private center in Ariana organized a protest gathering in front of the headquarters of National Security in Ariana, chanting slogans calling for the release of the educators arrested for mistreatment of the children.",0,1519668788,TUN
